               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                   O*                   CO                  CO2
                 508               543641         3.0420000000000000E+04         1.9000000000000000E+02        -2.2210460000005255E+03                1432                   89                -1919                  487
                 509               544798         3.0480000000000000E+04         1.9000000000000000E+02        -2.2210496500005233E+03                1432                   89                -1919                  487
                 510               545952         3.0540000000000000E+04         1.9000000000000000E+02        -2.2226817500005159E+03                1434                   89                -1921                  487
                 511               547105         3.0600000000000000E+04         1.9000000000000000E+02        -2.2226264000005158E+03                1434                   89                -1921                  487
                 512               548220         3.0660000000000000E+04         1.9000000000000000E+02        -2.2225557000005178E+03                1434                   89                -1921                  487
                 513               549400         3.0720000000000000E+04         1.9000000000000000E+02        -2.2233536500005157E+03                1435                   89                -1922                  487
                 514               550573         3.0780000000000000E+04         1.9000000000000000E+02        -2.2232329500005139E+03                1435                   89                -1922                  487
                 515               551809         3.0840000000000000E+04         1.9000000000000000E+02        -2.2232905500005249E+03                1435                   89                -1922                  487
                 516               552935         3.0900000000000000E+04         1.9000000000000000E+02        -2.2225399500005124E+03                1434                   89                -1921                  487
                 517               554172         3.0960000000000000E+04         1.9000000000000000E+02        -2.2227356500005117E+03                1434                   89                -1921                  487
                 518               555427         3.1020000000000000E+04         1.9000000000000000E+02        -2.2226087500005183E+03                1434                   89                -1921                  487
                 519               556624         3.1080000000000000E+04         1.9000000000000000E+02        -2.2226586000005145E+03                1434                   89                -1921                  487
                 520               557897         3.1140000000000000E+04         1.9000000000000000E+02        -2.2231381500005082E+03                1435                   88                -1923                  488
                 521               559085         3.1200000000000000E+04         1.9000000000000000E+02        -2.2216856500005197E+03                1434                   87                -1923                  489
                 522               560190         3.1260000000000000E+04         1.9000000000000000E+02        -2.2230014000005112E+03                1435                   87                -1924                  489
                 523               561323         3.1320000000000000E+04         1.9000000000000000E+02        -2.2237117000005210E+03                1436                   87                -1925                  489
                 524               562416         3.1380000000000000E+04         1.9000000000000000E+02        -2.2237383000005098E+03                1436                   87                -1925                  489
                 525               563550         3.1440000000000000E+04         1.9000000000000000E+02        -2.2238142000005128E+03                1436                   87                -1925                  489
                 526               564708         3.1500000000000000E+04         1.9000000000000000E+02        -2.2237338500005103E+03                1436                   87                -1925                  489
                 527               565918         3.1560000000000000E+04         1.9000000000000000E+02        -2.2237256000005141E+03                1436                   87                -1925                  489
                 528               567151         3.1620000000000000E+04         1.9000000000000000E+02        -2.2236030500005018E+03                1436                   87                -1925                  489
                 529               568263         3.1680000000000000E+04         1.9000000000000000E+02        -2.2235706500005163E+03                1436                   87                -1925                  489
                 530               569509         3.1740000000000000E+04         1.9000000000000000E+02        -2.2247019500005167E+03                1437                   87                -1926                  489
                 531               570708         3.1800000000000000E+04         1.9000000000000000E+02        -2.2246040500005133E+03                1437                   87                -1926                  489
                 532               571780         3.1860000000000000E+04         1.9000000000000000E+02        -2.2238506500005265E+03                1436                   87                -1925                  489
                 533               572982         3.1920000000000000E+04         1.9000000000000000E+02        -2.2236658000005064E+03                1436                   87                -1925                  489
                 534               574197         3.1980000000000000E+04         1.9000000000000000E+02        -2.2245809000005156E+03                1437                   87                -1926                  489
                 535               575315         3.2040000000000000E+04         1.9000000000000000E+02        -2.2245873000005190E+03                1437                   87                -1926                  489
                 536               576526         3.2100000000000000E+04         1.9000000000000000E+02        -2.2248222000005153E+03                1437                   87                -1926                  489
                 537               577732         3.2160000000000000E+04         1.9000000000000000E+02        -2.2254320500005160E+03                1438                   87                -1927                  489
                 538               578814         3.2220000000000000E+04         1.9000000000000000E+02        -2.2254840000005270E+03                1438                   87                -1927                  489
